season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2012,17,Tb,At,At,At,At,At,Tb
2012,17,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2012,17,Da,Wa,Wa,Wa,Wa,Wa,Wa
2012,18,Se,At,At,Se,Se,At,At
2012,18,In,Ba,Ba,In,Ba,In,Ba
2012,18,Ba,Dn,Dn,Dn,Dn,Ba,Ba
2012,18,Ba,Ne,Ne,Ne,Ba,Ne,Ba
2012,18,Ba,Sf,Sf,Sf,Ba,Sf,Ba
2012,18,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2012,18,Cn,Ho,Ho,Cn,Ho,Ho,Ho
2012,18,Ho,Ne,Ne,Ne,Ne,Ne,Ne
2012,18,Se,Wa,Wa,Wa,Se,Wa,Se
2012,18,Gb,Sf,Sf,Gb,Gb,Gb,Sf
2012,18,Sf,At,At,Sf,Sf,Sf,Sf
