season,Week,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2011,16,Ch,Gb,Gb,Gb,Gb,Gb,Gb
2011,16,Gi,Jt,Jt,Jt,Jt,Gi,Gi
2011,16,Ho,In,Ho,Ho,Ho,Ho,In
2011,16,Mn,Wa,Wa,Wa,Wa,Wa,Mn
2011,16,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2011,16,At,No,No,No,No,No,No
2011,16,Oa,Kc,Kc,Kc,Kc,Kc,Oa
2011,16,Ph,Da,Ph,Ph,Ph,Ph,Ph
2011,16,Sl,Pt,Pt,Pt,Pt,Pt,Pt
2011,16,Sf,Se,Sf,Sf,Sf,Sf,Sf
2011,16,Jk,Tn,Tn,Tn,Tn,Tn,Tn
2011,17,Tb,At,At,At,At,At,At
2011,17,Se,Az,Se,Az,Se,Az,Az
2011,17,Ba,Cn,Ba,Ba,Ba,Ba,Ba
2011,17,Ch,Mn,Ch,Ch,Ch,Ch,Ch
2011,17,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2011,17,Da,Gi,Gi,Da,Gi,Gi,Gi
2011,17,In,Jk,Jk,Jk,In,Jk,Jk
2011,17,Kc,Dn,Dn,Dn,Dn,Dn,Kc
2011,17,Jt,Mi,Mi,Jt,Mi,Jt,Mi
2011,17,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2011,17,Ca,No,No,No,No,No,No
2011,17,Wa,Ph,Ph,Ph,Ph,Ph,Ph
2011,17,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2011,17,Sd,Oa,Sd,Oa,Oa,Oa,Sd
2011,17,Sf,Sl,Sf,Sf,Sf,Sf,Sf
2011,17,Tn,Ho,Ho,Tn,Ho,Tn,Tn
2011,18,Ho,Ba,Ba,Ba,Ba,Ba,Ba
2011,18,Pt,Dn,Pt,Pt,Pt,Pt,Dn
2011,18,At,Gi,At,Gi,Gi,At,Gi
2011,18,Gi,Gb,Gb,Gb,Gb,Gb,Gi
2011,18,Gi,Sf,Sf,Sf,Sf,Sf,Gi
2011,18,Gi,Ne,Ne,Ne,Ne,Ne,Gi
2011,18,Cn,Ho,Ho,Cn,Ho,Ho,Ho
2011,18,Dn,Ne,Ne,Ne,Ne,Ne,Ne
2011,18,Ba,Ne,Ne,Ne,Ne,Ne,Ne
2011,18,Dt,No,No,No,No,No,No
2011,18,No,Sf,No,Sf,No,No,Sf
